"ERR","Element.symbol","Subclass","ST","Source","Type"
"DRR242140","blaCMY-2","CEPHALOSPORIN","540","Human","ESBL"
"DRR242140","blaEC","BETA-LACTAM","540","Human","ESBL"
"DRR242142","blaEC","BETA-LACTAM","405","Human","ESBL"
"DRR242142","ftsI_I336IKYRI","AZTREONAM/CEFIDEROCOL/CEPHALOSPORIN","405","Human","ESBL"
"DRR242142","blaTEM-1","BETA-LACTAM","405","Human","ESBL"
"DRR242145","blaEC","BETA-LACTAM","69","Human","ESBL"
"DRR242147","blaEC","BETA-LACTAM","131","Human","ESBL"
"DRR242150","blaEC","BETA-LACTAM","405","Human","ESBL"
"DRR242150","ftsI_I336IKYRI","AZTREONAM/CEFIDEROCOL/CEPHALOSPORIN","405","Human","ESBL"
"DRR242150","blaTEM-1","BETA-LACTAM","405","Human","ESBL"
"DRR242150","blaCTX-M-15","CEPHALOSPORIN","405","Human","ESBL"
"DRR242151","blaEC","BETA-LACTAM","69","Human","ESBL"
"DRR242151","blaCTX-M-14","CEPHALOSPORIN","69","Human","ESBL"
"DRR242152","blaEC","BETA-LACTAM","11176","Human","ESBL"
"DRR242152","blaCTX-M-15","CEPHALOSPORIN","11176","Human","ESBL"
"DRR242153","blaEC","BETA-LACTAM","11176","Human","ESBL"
"DRR242153","blaCTX-M-15","CEPHALOSPORIN","11176","Human","ESBL"
"DRR242154","blaEC","BETA-LACTAM","-","Human","ESBL"
"DRR242155","blaCTX-M","CEPHALOSPORIN","3580","Human","ESBL"
"DRR242155","blaEC","BETA-LACTAM","3580","Human","ESBL"
"DRR242156","blaCTX-M-15","CEPHALOSPORIN","405","Human","ESBL"
"DRR242156","ftsI_I336IKYRI","AZTREONAM/CEFIDEROCOL/CEPHALOSPORIN","405","Human","ESBL"
"DRR242156","blaTEM-1","BETA-LACTAM","405","Human","ESBL"
"DRR242156","blaEC","BETA-LACTAM","405","Human","ESBL"
"DRR242157","blaEC","BETA-LACTAM","617","Human","ESBL"
"DRR242157","blaCTX-M","CEPHALOSPORIN","617","Human","ESBL"
"DRR242157","blaOXA-1","CEPHALOSPORIN","617","Human","ESBL"
"DRR242158","blaEC","BETA-LACTAM","131","Human","ESBL"
"DRR242159","ftsI_I336IKYRI","AZTREONAM/CEFIDEROCOL/CEPHALOSPORIN","405","Human","ESBL"
"DRR242159","blaCTX-M-15","CEPHALOSPORIN","405","Human","ESBL"
"DRR242159","blaTEM-1","BETA-LACTAM","405","Human","ESBL"
"DRR242159","blaEC","BETA-LACTAM","405","Human","ESBL"
"DRR242160","blaEC","BETA-LACTAM","69","Human","ESBL"
"DRR242161","blaEC","BETA-LACTAM","69","Human","ESBL"
"DRR242162","blaEC","BETA-LACTAM","8767","Human","ESBL"
"DRR242162","blaTEM-1","BETA-LACTAM","8767","Human","ESBL"
"DRR242163","blaCTX-M-15","CEPHALOSPORIN","617","Human","ESBL"
"DRR242163","blaOXA-1","CEPHALOSPORIN","617","Human","ESBL"
