DRR242140	Name	Protein id	Contig id	Start	Stop	Strand	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference	% Identity to reference	Alignment length	Closest reference accession	Closest reference name	HMM accession	HMM description
DRR242140	DRR242140	NA	NODE_116_length_13935_cov_22.145779	7182	8600	+	espX1	type III secretion system effector EspX1	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	473	473	100.00	92.81	473	ADD54679.1	type III secretion system effector EspX1	NA	NA
DRR242140	DRR242140	NA	NODE_144_length_10926_cov_13.606724	9195	10337	+	blaCMY-2	extended-spectrum class C beta-lactamase CMY-2	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	381	381	100.00	100.00	381	WP_000976514.1	extended-spectrum class C beta-lactamase CMY-2	NA	NA
DRR242140	DRR242140	NA	NODE_362_length_2319_cov_16.590090	362	970	+	hdeD-GI	heat resistance membrane protein HdeD-GI	plus	STRESS	HEAT	NA	NA	BLASTX	203	203	100.00	97.54	203	APX31174.1	heat resistance membrane protein HdeD-GI	NA	NA
DRR242140	DRR242140	NA	NODE_420_length_1590_cov_5.612341	2	1357	-	ybtQ	yersiniabactin ABC transporter ATP-binding/permease protein YbtQ	plus	VIRULENCE	VIRULENCE	NA	NA	PARTIAL_CONTIG_ENDX	452	600	75.33	99.78	452	AAC69584.1	yersiniabactin ABC transporter ATP-binding/permease protein YbtQ	NA	NA
DRR242140	DRR242140	NA	NODE_48_length_24124_cov_22.419421	16956	18173	+	mdtM	multidrug efflux MFS transporter MdtM	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	406	410	99.02	93.60	406	AAC77293.1	multidrug efflux MFS transporter MdtM	NA	NA
DRR242140	DRR242140	NA	NODE_513_length_940_cov_10.323424	2	940	-	ybtP	yersiniabactin ABC transporter ATP-binding/permease protein YbtP	plus	VIRULENCE	VIRULENCE	NA	NA	PARTIAL_CONTIG_ENDX	313	600	52.17	99.36	313	CAA21388.1	yersiniabactin ABC transporter ATP-binding/permease protein YbtP	NA	NA
DRR242140	DRR242140	NA	NODE_539_length_747_cov_4.873457	112	567	-	shsP	small heat shock protein sHSP20-GI	plus	STRESS	HEAT	NA	NA	EXACTX	152	152	100.00	100.00	152	ASF80771.1	small heat shock protein sHSP20-GI	NA	NA
DRR242140	DRR242140	NA	NODE_66_length_19708_cov_25.782192	11215	14316	+	acrF	multidrug efflux RND transporter permease subunit AcrF	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	1034	1034	100.00	99.61	1034	AAC76298.1	multidrug efflux RND transporter permease subunit AcrF	NA	NA
DRR242140	DRR242140	NA	NODE_74_length_18470_cov_24.213489	3702	7949	+	fdeC	inverse autotransporter adhesin FdeC	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	1416	1416	100.00	94.07	1416	ABE05822.1	inverse autotransporter adhesin FdeC	NA	NA
DRR242140	DRR242140	NA	NODE_9_length_44058_cov_25.172820	8758	9888	+	blaEC	BlaEC family class C beta-lactamase	plus	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	377	377	100.00	98.41	377	WP_063610930.1	extended-spectrum class C beta-lactamase EC-15	NA	NA
